emotion,essay,Unnamed: 2
shame,look karateteacher came training lesson trained one week totally stiff ashamed,
guilt,sisters asked fetch discotheque km thick fog snowfall enough room car asked go way make feel guilty,
joy,heard passed final examination school success,
fear,final examination,
anger,mother kept leadingstrings,
sadness,father died,
disgust,worked lifesaving sevice saw first exitus,
shame,made fool examination,
guilt,wrongly explained someone important exemple examination,
joy,last year went see friends yugoslavia two girls get along well,
fear,went urologists afraid several reasons first time medical checkup might painful uncertainty someone informed,
anger,girlfriend understand angry problems seperated could resign,
sadness,friend years old died,
disgust,army got certain dish dinner like obliged eat hungry,
shame,pay fine speeding,
guilt,friend years old died leukemia known ill therefore cared,
joy,got young dog,
fear,afraid went doctors,
anger,accident damage car body,
sadness,dog died cerebral tumor,
disgust,worked lifesaving service disgusted patient whose outward appearance distasteful,
shame,child medical checkup undress examined several doctors,
guilt,classmate wanted sit pulled chair away slightly injured,
joy,heard good friend abroad long time would come see,
fear,first oral examination long time especially one day examination feeling studied enough enough time make,
anger,heard friends grumbling adjoining room although behaved friendly way present,
sadness,brother died,
disgust,read murderer brutalized victims cutting open stomaches taking bowels,
shame,child told mother lie found,
guilt,father alone long time mother sister holiday seen long time finally called realized sad,
joy,unexpectedly got present father,
fear,go lonely streets middle night,
anger,boyfriend promised come home pm return midnight consumed lot alcohol,
sadness,relative like much left united states,
disgust,walking street slipped dung dog fall felt disgusted bad smell sole,
shame,persons important came see washed dishes,
guilt,looking cousins little daughter fell slightly injured cried vociferously,
joy,met good friend seen long time,
fear,got lost foreign town know language country took hours meet friends,
anger,friend promised get book important work forgot,
sadness,dog eleven years died watched soporification,
disgust,drunk man bumped wanted grip fortunately able break loose,
shame,stayed nudism beach man watching disagreeable way feeling examining body,
